region_name,Experiment,Model,region_mae,region_bias
Астраханская область,A,LinearRegression,11.073601183989531,1.0254870248558283
Белгородская область,A,LinearRegression,13.168393733455643,-0.17277907856597827
Брянская область,A,LinearRegression,15.969001036452767,-1.552319968737195
Владимирская область,A,LinearRegression,16.704425554757353,-2.5460343942713415
Волгоградская область,A,LinearRegression,12.76698241458999,-3.0804808094000613
Вологодская область,A,LinearRegression,13.253840024208055,-1.897267263157565
Воронежская область,A,LinearRegression,15.662668723679145,-0.95408148008783
Еврейская автономная область,A,LinearRegression,11.807220370776173,-3.649392442274008
Забайкальский край,A,LinearRegression,10.391962310836297,-2.206021686272719
Ивановская область,A,LinearRegression,12.399256785253977,-2.0966083232740886
Иркутская область,A,LinearRegression,10.194016113430987,-2.8084505715549817
Кабардино-Балкарская Республика,A,LinearRegression,3.944749030014193,3.944749030014193
Калининградская область,A,LinearRegression,14.11992743411153,0.16615813488143752
Калужская область,A,LinearRegression,13.911175293881064,-1.8179801174183166
Камчатский край,A,LinearRegression,16.464820311242715,-0.8691132161715819
Карачаево-Черкесская Республика,A,LinearRegression,4.757226865876841,4.73639840504101
Кемеровская область - Кузбасс,A,LinearRegression,7.2444129626921985,-0.5166285478930025
Кировская область,A,LinearRegression,15.25832004609587,-2.021398710174273
Костромская область,A,LinearRegression,12.746747152383941,-1.5436190265859093
Краснодарский край,A,LinearRegression,16.2337764657071,-2.4881103473971584
Красноярский край,A,LinearRegression,12.386670362331955,-0.7893249018837499
Курганская область,A,LinearRegression,13.02490117836112,-0.7163464508006298
Курская область,A,LinearRegression,15.878414549451302,-1.37726110759092
Ленинградская область,A,LinearRegression,13.187069173689245,-0.09467132376181316
Липецкая область,A,LinearRegression,14.821827460713193,-0.3150442205392932
Магаданская область,A,LinearRegression,17.93657497935748,0.4396832827570722
Московская область,A,LinearRegression,17.327384210925533,-1.1417963695121571
Мурманская область,A,LinearRegression,14.079242613876957,0.5448552213635942
Ненецкий автономный округ,A,LinearRegression,14.110768789756747,-2.093006450383701
Нижегородская область,A,LinearRegression,18.61109435515263,-1.4220484124750812
Новгородская область,A,LinearRegression,13.599970580801154,-1.2715979900285188
Новосибирская область,A,LinearRegression,12.817641644347892,-1.765964003783921
Омская область,A,LinearRegression,8.871705979635,-1.5524491720205482
Оренбургская область,A,LinearRegression,13.094986368627476,-1.8083741573532397
Орловская область,A,LinearRegression,12.85654582223889,0.4139099959814511
Пензенская область,A,LinearRegression,14.12085177879114,-0.8997047576496714
Пермский край,A,LinearRegression,14.753336564159488,-0.21149009782187397
Приморский край,A,LinearRegression,11.583667717335132,-1.6630719128065614
Псковская область,A,LinearRegression,13.011793435581945,-0.5751349051486372
Республика Адыгея (Адыгея),A,LinearRegression,13.667920661680752,-0.5125139691654237
Республика Алтай,A,LinearRegression,8.868581206010282,-0.10511195868713112
Республика Башкортостан,A,LinearRegression,4.091903277754079,1.2095230613703307
Республика Бурятия,A,LinearRegression,8.95370924137331,0.016210939025272708
Республика Дагестан,A,LinearRegression,7.4933430477519805,2.3119145987405734
Республика Ингушетия,A,LinearRegression,4.6014242902676346,4.6014242902676346
Республика Калмыкия,A,LinearRegression,12.908948749604901,0.6566327536467641
Республика Карелия,A,LinearRegression,12.902829288689418,0.6591756050801484
Республика Коми,A,LinearRegression,12.866829482858966,-0.963680240144471
Республика Марий Эл,A,LinearRegression,6.475540320283123,-2.6826301705821076
Республика Мордовия,A,LinearRegression,9.308668076929015,-1.2672885640138931
Республика Саха (Якутия),A,LinearRegression,10.149591983793165,1.892847034052097
Республика Северная Осетия - Алания,A,LinearRegression,2.4923967702471117,2.4216313465300296
Республика Татарстан (Татарстан),A,LinearRegression,15.862640749099471,-0.5435173478222103
Республика Тыва,A,LinearRegression,2.7498322057564297,-0.37763643222685933
Республика Хакасия,A,LinearRegression,9.543897091759272,-2.4405432218165806
Ростовская область,A,LinearRegression,14.793793466545589,-2.2965338819834
Рязанская область,A,LinearRegression,17.413184228669827,-2.7791826314342845
Самарская область,A,LinearRegression,11.616817549742843,-0.7746540584919815
Саратовская область,A,LinearRegression,11.78150265949111,-1.469377509196575
Сахалинская область,A,LinearRegression,17.233529440890507,-0.9126022247859756
Свердловская область,A,LinearRegression,12.351663057833333,-0.08028238012107873
Смоленская область,A,LinearRegression,15.541003780510215,-2.9322345850826372
Ставропольский край,A,LinearRegression,14.00415099458243,-2.152522862275053
Тамбовская область,A,LinearRegression,18.46399472183039,-0.3256984801898275
Тверская область,A,LinearRegression,14.614724426672526,-1.3302397767242404
Томская область,A,LinearRegression,14.45560706951485,-0.45562692098652374
Тульская область,A,LinearRegression,14.464666068943558,-3.145296728610909
Тюменская область,A,LinearRegression,4.167790101995519,2.8021651814818305
Удмуртская Республика,A,LinearRegression,13.585780145321513,-0.16050790720950422
Ульяновская область,A,LinearRegression,10.791590078728765,-1.8121829202918047
Хабаровский край,A,LinearRegression,14.04764020769125,-2.451217277653688
Ханты-Мансийский автономный округ - Югра,A,LinearRegression,14.271045855245724,-2.227432849850995
Челябинская область,A,LinearRegression,8.764715526980199,-0.016993266701683513
