region_name,Experiment,Model,region_mae,region_bias
Чеченская Республика,A,LinearRegression,9.321054054652436,0.5646353594198817
Чувашская Республика - Чувашия,A,LinearRegression,8.927996270121382,0.6999799448653707
Чукотский автономный округ,A,LinearRegression,14.234581142019403,1.8142226050716392
Ямало-Ненецкий автономный округ,A,LinearRegression,11.008789945412614,1.2648638552636153
Ярославская область,A,LinearRegression,14.319751950586076,-1.8143072973005552
город Москва,A,LinearRegression,20.951512245978837,-0.07549258950741056
город Санкт-Петербург,A,LinearRegression,16.897248314879835,-1.5878940028771893
Алтайский край,B,LinearRegression,12.148100791266891,0.7813075537965594
Амурская область,B,LinearRegression,11.113189979287752,2.8866058459911397
Архангельская область,B,LinearRegression,8.78753598214174,5.9350037854507365
Астраханская область,B,LinearRegression,4.859250760729238,2.7242299697459664
Белгородская область,B,LinearRegression,6.723484621968969,4.147843226124608
Брянская область,B,LinearRegression,1.0728539057268645,1.0728539057268645
Владимирская область,B,LinearRegression,8.5062184596031,-0.003683456077334668
Волгоградская область,B,LinearRegression,2.9073363938087216,1.1318803722863258
Вологодская область,B,LinearRegression,10.645256971757581,3.9131183319456455
Воронежская область,B,LinearRegression,2.6744325112511986,1.9697033973326852
Еврейская автономная область,B,LinearRegression,6.677867873677222,1.3642184247278746
Забайкальский край,B,LinearRegression,8.334539161363558,3.8219092513844273
Ивановская область,B,LinearRegression,9.4499262730882,1.3332475217989608
Иркутская область,B,LinearRegression,10.258556541231648,3.268924073659463
Кабардино-Балкарская Республика,B,LinearRegression,6.260570421373224,2.4397138729539667
Калининградская область,B,LinearRegression,7.9922175960445285,3.492694328939622
Калужская область,B,LinearRegression,9.672548786132529,4.5280200118844744
Камчатский край,B,LinearRegression,12.226714854520912,4.77607011332156
Карачаево-Черкесская Республика,B,LinearRegression,5.076537872290719,0.5034595041380364
Кемеровская область - Кузбасс,B,LinearRegression,2.950802327560544,-1.528849724832237
Кировская область,B,LinearRegression,10.455849677124007,5.544141076476005
Костромская область,B,LinearRegression,13.126251191662428,3.794283588757562
Краснодарский край,B,LinearRegression,3.90293771105608,2.8492212687201874
Красноярский край,B,LinearRegression,8.669164326381482,2.2619590500106885
Курганская область,B,LinearRegression,11.342771045032704,2.80752983516058
Курская область,B,LinearRegression,5.74206812585782,2.4528369515153483
Ленинградская область,B,LinearRegression,5.678265360076911,3.4329399066860877
